esporte,pais,liga,data_hora,times,mercado,linha,odd_1,casa_1,odd_2,casa_2,odd_3,casa_3,lucro_garantido
Tênis de Mesa,Mundo,Setka Cup,"16º mai 25, 19:25",Alexei Shindel Aleksandr Gomilko,Alexei ShindelAleksandr Gomilko,Casa/Fora,2.60,betvictor,1.85,sts,,,8.09%
Futebol Americano,EUA,NFL,"16º nov 25, 10:30",Miami Dolphins Washington Commanders,Miami DolphinsWashington Commanders,Casa/Fora,2.75,stake-com,1.71,bovada,,,5.60%
Futebol,Brasil,Brasileirão Série A,"18º mai 25, 16:00",Juventude Fluminense,Resultado Final,,3.40,1xbet,3.33,fezbet,2.80,powerplay,5.09%
Futebol,República Checa,Liga Pro,"17º mai 25, 08:30",Martin Guk Yan Mechl,Martin GukYan Mechl,Casa/Fora,2.50,22bet,1.80,coral,,,4.65%
Futebol,Austrália,NRL,"18º mai 25, 01:00",Brisbane Broncos St. George Illawarra Dragons,Brisbane BroncosSt. George Illawarra Dragons,Resultado Final,1.34,vbet,41.00,boylesports,5.30,marathonbet,4.24%
Tênis de Mesa,Mundo,Setka Cup,"17º mai 25, 10:40",Arseniy Lobanov Oleg Varlamov,Arseniy LobanovOleg Varlamov,Casa/Fora,1.59,1xbet,3.00,betvictor,,,3.92%
Futebol,Etiópia,Premier League,"17º mai 25, 09:00",Mekelle Kenema Ethiopian Medhin,Mekelle KenemaEthiopian Medhin,Mais/Menos2.5,2.40,fezbet,1.83,casumo-sport,,,3.83%
Futebol,Brasil,Copa do Brasil,"22º mai 25, 19:00",Maracanã-CE Internacional,Maracanã-CEInternacional,Resultado Final,20.00,lsbet,7.25,lsbet,1.29,betano,3.83%
Futebol,Chile,Primeira Divisão,"16º mai 25, 21:00",Deportes União La Calera Coquimbo Unido,Resultado Final,,3.67,pinnacle,3.04,22bet,2.70,casumo-sport,2.90%
Futebol,Europa,Pro14 Taça Rainbow,"17º mai 25, 12:15",Lions Ospreys,LionsOspreys,Casa/Fora,1.60,casumo-sport,2.88,fanduel,,,2.86%
Futebol,Austrália,NRL,"18º mai 25, 03:05",Canberra Raiders Gold Coast Titans,Canberra RaidersGold Coast Titans,Resultado Final,1.35,vbet,36.00,vbet,4.90,marathonbet,2.82%
Futebol,Polônia,2º Liga,"17º mai 25, 13:00",KKS Kalisz Olimpia Elblag,Resultado Final,,1.45,powbet,6.00,leovegas-sport,8.60,20bet,2.82%
Futebol,Mundo,One Day International,"21º mai 25, 06:45",Irlanda West Indies,IrlandaWest Indies,Casa/Fora,2.72,fanduel,1.65,parimatch,,,2.70%
Futebol,EUA,Liga Unida de Futebol,"16º mai 25, 20:00",North Carolina Oakland Roots,Mais/Menos2.5,2.5,2.18,leovegas-sport,1.94,casumo-sport,,,2.65%
Futebol,Mundo,Oktagon,"17º mai 25, 15:30",Hafeni Nafuka George Staines,Hafeni NafukaGeorge Staines,Casa/Fora,3.52,mostbet,1.44,betvictor,,,2.39%
Futebol,Suécia,"2ª Divisão, Norrland","17º mai 25, 08:00",Kiruna FF Pitea IF,Kiruna FFPitea IF,Resultado Final,13.00,sisal,7.00,sisal,1.32,casumo-sport,2.32%
Futebol,Finlândia,Kakkonen Grupo C,"17º mai 25, 11:00",TP-47 Kuopion Elo,TP-47Kuopion Elo,Resultado Final,1.24,mystake,11.00,fezbet,12.00,codere-sport,1.97%
Futebol,Mundo,Super Lightweight,"11º jul 25, 23:00",Katie Taylor Amanda Serrano,Katie TaylorAmanda Serrano,Resultado Final,2.73,22bet,19.00,betuk,1.78,22bet,1.96%
Futebol,Mundo,Oktagon,"17º mai 25, 16:45",Alexander Poppeck Pavol Langer,Alexander PoppeckPavol Langer,Casa/Fora,1.40,betano,3.75,4rabet,,,1.94%
Futebol,Trindade e Tobago,Pro Liga,"16º mai 25, 19:00",Club Sando Point Fortin,Resultado Final,,1.26,sts,8.25,interwetten,15.00,bc-game,1.88%
Futebol,Mundo,Oktagon,"17º mai 25, 13:00",Shem Rock Attila Korkmaz,Shem RockAttila Korkmaz,Casa/Fora,1.36,betvictor,4.00,betano,,,1.72%
Futebol,Austrália,1ª Liga AFL,"17º mai 25, 00:20",Collingwood Magpies Adelaide Crows,Collingwood MagpiesAdelaide Crows,Casa/Fora,1.55,1xbet,2.95,casumo-sport,,,1.61%
Futebol Americano,EUA,NFL,"7º set 25, 14:00",New England Patriots Las Vegas Raiders,New England PatriotsLas Vegas Raiders,Casa/Fora,1.78,marathonbet,2.36,stake-com,,,1.47%
Futebol,Mundo,Campeonato do Mundo,"18º mai 25, 15:20",Hungria Suíça,Resultado Final,,45.00,vave,21.00,20bet,1.09,mostbet,1.29%
Basquete,Austrália,"NBL1, Norte","17º mai 25, 07:00",Frankston Blues Casey Cavaliers,Frankston BluesCasey Cavaliers,Casa/Fora,1.48,bwin,3.20,draftkings,,,1.20%
Futebol Americano,EUA,NFL,"14º set 25, 14:00",Cincinnati Bengals Jacksonville Jaguars,Cincinnati BengalsJacksonville Jaguars,Casa/Fora,1.44,stake-com,3.40,betvictor,,,1.16%
Futebol,Argentina,Primeira Nacional,"18º mai 25, 15:00",Clube Atlético Guemes Quilmes AC,Resultado Final,,2.80,fezbet,3.00,leovegas-sport,3.35,leovegas-sport,1.11%
Futebol,Europa,Pro14 Taça Rainbow,"17º mai 25, 12:15",Lions Ospreys,LionsOspreys,Resultado Final,1.62,casumo-sport,26.00,boylesports,3.00,marathonbet,1.10%
Futebol,Argentina,Primeira Nacional,"16º mai 25, 20:05",Ferro Carril Oeste Club Almagro,Resultado Final,,2.00,betway,3.45,casumo-sport,5.00,casumo-sport,1.02%
Futebol,Austrália,Taça FFA,"18º mai 25, 00:00",South East United FC Lauceston City FC,Resultado Final,,6.38,22bet,6.00,22bet,1.50,fezbet,1.00%
